i,j,x
1009,12,1
1010,1,1
1010,8,1
1010,23,1
1010,33,1
1010,46,1
1010,54,1
1010,63,1
1013,17,1
1013,19,1
1014,7,1
1014,8,1
1014,20,3
1014,23,1
1014,62,1
1015,17,2
1015,19,1
1016,6,1
1016,10,1
1017,1,1
1017,19,1
1017,45,1
1017,52,1
1018,17,1
1018,23,1
1018,51,1
1018,60,1
1019,31,1
1019,60,1
1020,17,1
1020,19,1
1020,20,1
1021,20,1
1021,23,1
1022,7,1
1023,1,1
1023,15,1
1023,18,1
1023,20,1
1023,32,1
1024,43,1
1025,15,1
1025,20,2
1025,32,1
1026,43,1
1027,20,2
1028,7,1
1028,8,1
1028,20,2
1028,62,1
1029,20,1
1029,23,1
1029,43,1
1030,9,1
1030,17,1
1030,20,1
1030,64,1
1031,1,1
1031,20,1
1031,23,1
1031,33,1
1031,49,1
1032,20,1
1033,7,1
1033,20,1
1033,23,1
1033,29,1
1033,32,1
1033,43,1
1034,1,1
1034,18,1
1034,33,1
1035,26,1
1036,7,1
1036,8,1
1036,20,3
1036,62,1
1037,7,1
1038,24,1
1038,64,1
1039,17,1
1040,7,1
1040,8,1
1040,20,3
1040,62,1
1041,20,1
1041,22,1
1041,32,1
1041,53,1
1042,1,1
1042,2,1
1044,1,1
1044,7,1
1044,20,1
1044,23,1
1045,26,1
1046,15,1
1048,1,1
1048,18,1
1048,20,2
1048,26,2
1048,52,4
1049,24,1
1050,6,1
1050,10,1
1051,51,1
1052,20,1
1053,9,1
1053,19,1
1053,20,1
1053,26,1
1055,20,1
1055,24,1
1055,26,1
1056,1,1
1056,17,1
1056,18,1
1056,20,1
1058,20,1
1058,51,1
1059,26,1
1060,15,1
1060,20,1
1061,33,1
1062,16,1
1063,51,1
1065,6,1
1065,10,1
1066,22,1
1066,32,1
1068,20,1
1068,43,1
1069,20,1
1069,25,1
1071,1,1
1071,20,1
1071,39,1
1071,43,1
1072,1,1
1072,23,1
1072,33,1
1072,57,1
1073,6,1
1073,10,1
1074,15,1
1074,20,1
1075,20,1
1075,26,1
1076,22,1
1076,32,1
1077,23,1
1077,31,1
1078,18,1
1078,20,1
1078,23,1
1078,26,1
1078,46,1
1078,63,1
1079,16,1
1080,6,1
1080,17,1
1080,19,1
1081,33,1
1081,46,1
1081,63,1
1082,9,1
1082,11,1
1082,20,1
1083,16,1
1083,23,1
1083,56,1
1084,18,1
1084,20,2
1084,52,1
1085,9,1
1086,20,2
1087,21,1
1087,33,1
1088,10,1
1088,17,1
1088,18,1
1088,20,1
1088,24,1
1089,1,1
1089,18,1
1089,20,1
1089,33,1
1090,24,1
1091,1,2
1091,20,1
1091,26,1
1092,38,1
1095,7,1
1096,15,1
1096,20,1
1097,17,1
1097,19,1
1097,20,1
1098,1,1
1098,9,1
1098,12,1
1098,16,1
1098,19,1
1098,23,1
1098,51,1
1100,19,1
1100,20,1
1100,23,1
1100,52,1
1103,1,1
1103,4,1
1103,26,2
1103,57,1
1104,16,1
1104,20,1
1105,2,1
1106,20,1
1108,15,1
1108,23,1
1108,26,1
1108,52,1
1110,22,1
1111,1,1
1111,20,1
1111,57,1
1112,23,1
1113,32,1
1114,19,1
1115,23,1
1115,26,1
1118,7,1
1118,8,1
1118,19,1
1118,20,1
1118,62,1
1119,20,1
1121,35,1
1122,43,1
1122,57,1
1123,20,1
1123,24,1
1123,26,1
1124,23,1
1125,18,1
1125,19,1
1125,20,1
1126,1,1
1126,16,1
1126,18,1
1126,20,1
1127,43,1
1127,57,1
1128,11,1
1128,46,1
1128,63,1
1129,1,1
1129,18,1
1129,19,1
1129,53,1
1130,7,1
1132,61,1
1133,6,1
1133,10,1
1135,1,1
1135,23,2
1136,40,1
1136,65,1
1138,23,1
1139,1,1
1139,26,2
1139,32,1
1140,64,1
1141,17,1
1141,38,1
1142,20,1
1142,61,1
1146,38,1
1148,7,1
1148,22,1
1149,6,1
1149,20,1
1149,24,1
1150,56,1
1151,1,1
1152,15,1
1152,20,2
1152,32,1
1153,35,1
1155,17,1
1156,1,1
1156,2,1
1156,18,1
1156,20,1
1157,7,1
1157,8,1
1157,20,3
1157,62,1
1158,19,1
1158,20,1
1159,6,1
1161,1,1
1161,8,1
1162,20,1
1162,31,1
1163,20,2
1164,23,1
1164,47,1
1164,57,1
1165,8,1
1166,19,1
1166,20,1
1166,33,3
1167,1,1
1167,7,1
1167,18,1
1167,62,1
1168,23,5
1168,54,1
1169,22,1
1170,33,1
1171,57,2
1173,19,1
1174,4,1
1175,19,1
1175,52,1
1176,20,1
1178,1,1
1178,18,1
1178,19,1
1178,24,1
1179,1,1
1179,18,1
1179,19,1
1179,24,1
1180,20,1
1180,57,1
1181,12,1
1181,14,1
1181,51,1
1181,61,1
1182,1,2
1182,18,1
1182,19,2
1182,20,1
1183,20,2
1184,19,1
1185,16,1
1187,10,2
1187,20,1
1187,29,1
1188,2,1
1188,20,1
1190,19,1
1190,20,1
1191,16,1
1192,23,1
1193,1,1
1193,19,1
1193,39,1
1194,6,1
1195,1,1
1195,20,1
1195,23,1
1195,60,1
1196,1,1
1196,20,1
1197,21,1
1199,1,1
1199,19,1
1199,52,1
1201,20,1
1203,22,1
1203,32,1
1205,1,2
1205,6,1
1205,18,1
1206,1,1
1206,18,1
1206,19,1
1206,23,1
1206,52,1
1207,19,1
1208,12,1
1208,14,1
1208,21,1
1210,9,1
1211,17,1
1211,26,1
1211,64,1
1212,17,1
1212,64,1
1213,8,1
1214,12,1
1214,14,1
1214,61,1
1215,15,1
1217,23,1
1217,43,1
1217,57,1
1219,15,1
1219,32,1
1220,6,1
1220,15,1
1221,1,1
1221,20,2
1223,1,1
1223,7,1
1223,18,1
1223,62,1
1226,22,1
1226,32,1
1227,1,1
1227,7,1
1227,18,1
1227,62,1
1228,26,1
1228,52,1
1229,19,1
1229,20,1
1229,23,1
1230,33,1
1232,20,1
1233,20,1
1234,52,1
1234,64,1
1235,23,1
1236,20,1
1237,20,1
1237,22,1
1238,24,1
1239,20,1
1240,19,1
1240,38,1
1241,17,1
1242,20,1
1243,1,1
1243,26,1
1243,44,1
1244,20,1
1246,1,1
1246,17,1
1246,18,1
1246,19,1
1246,20,1
1246,39,1
1247,20,1
1247,35,1
1249,20,1
1249,22,1
1250,8,1
1250,20,2
1250,21,2
1250,28,1
1251,1,1
1251,17,1
1251,20,1
1253,6,1
1253,10,1
